University_category,Department,Gender,Age,YearofStudy,CGPA,credits_completed,study_strategy,how_many_courses_retaken,year1,year2,year3,year4,reason_for_retaking_course_01,reason_for_retaking_course_02,reason_for_retaking_course_03,reason_for_retaking_course_04,reason_for_retaking_course_05,reason_for_retaking_course_06,subject_area,attendance,study_time,co-curricular_activities,co-curricular_activities_time,co-curricular_activities_stress,involvedInStudentPolitics,studentPoliticsTime,studyHabits,formativeAssessmentsMarks,midtermExamsMarks,finalExamsMarks,confidence,familyResponsibilities,part-timeJob,part-timeJob_time,stressAcademicJourney,livingArrangement,supportAcademicChallenges,studyEnvironment,helpFromClassmates,engaged_classroom_discussions,time_management_skills,ever_retaken
Public,Engineering and Technology,Male,24,4th Year 2nd Semester,3.5,145,Only Lecture Materials,0,No,No,No,No,0,Other,0,0,0,0,IT,Above 90%,3-7h,No,0,Maybe,No,0,Irregular,70-80%,60-70%,70-80%,3,Yes,Other,more than 12,Yes,University dorm,No,4,Yes,Rarely,2,No
Public,Engineering and Technology,Male,21,2nd Year 1st Semester,2.9,35,Lecture Materials and Self-Sourced Resources,0,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Math,80-90%,more than 12,Yes,1-3h,No,No,0,Only before exams,70-80%,70-80%,70-80%,2,No,Not Applicable,0,Yes,University dorm,Yes,3,Yes,Always,3,No
Public,Engineering and Technology,Female,24,4th Year 2nd Semester,3.671,150,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,Above 90%,1-3h,Yes,1-3h,Maybe,No,0,Regular,80-90%,70-80%,70-80%,1,No,Not Applicable,0,Yes,University dorm,Yes,3,Yes,Always,3,No
National,Social Sciences,Female,24,4th Year 1st Semester,2.67,140,Lecture Materials and Self-Sourced Resources,3,Yes,No,Yes,No,Lack of preparation,0,0,0,Health issues,Family problems,Social Sciences,Below 50%,3-7h,Yes,more than 12,Maybe,No,0,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,With family,Yes,3,Yes,Rarely,2,Yes
Public,Engineering and Technology ,Male,21,2nd Year 1st Semester,2.89,60,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,IT,Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Rarely,3,Yes
Public,Sciences,Female,24,3rd Year 2nd Semester,3,120,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,Math,60-70%,more than 12,Yes,3-7h,Maybe,No,0,Regular,60-70%,60-70%,60-70%,4,No,Not Applicable,0,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,3,No
Private,Life Sciences,Male,22,2nd Year 2nd Semester,2.9,80,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,Poor time management,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,3-7h,Yes,8-12h,Maybe,No,0,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,With family,Yes,3,Yes,Sometimes,3,Yes
Public,Sciences,Female,21,2nd Year 1st Semester,2.67,60,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,Below 50%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,3,Yes
Public,Sciences,Female,22,2nd Year 1st Semester,2.75,60,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,Family problems,Math,Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
Private,Engineering and Technology ,Male,23,3rd Year 1st Semester,3.27,100,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,60-70%,more than 12,Yes,1-3h,Maybe,No,0,Regular,60-70%,60-70%,60-70%,4,No,Not Applicable,0,Yes,University dorm,Yes,3,Yes,Sometimes,3,No
Public,Sciences,Male,25,4th Year 2nd Semester,2.89,160,Lecture Materials and Self-Sourced Resources,3,Yes,Yes,No,No,Lack of preparation,0,0,Poor time management,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,Below 50%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
Public,Business Studies,Male,22,2nd Year 2nd Semester,2.78,80,Lecture Materials and Self-Sourced Resources,2,Yes,Yes,No,No,Lack of preparation,0,0,0,0,Family problems,Business,Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,Below 50%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Private,Sciences,Female,24,3rd Year 2nd Semester,2.89,120,Lecture Materials and Self-Sourced Resources,3,Yes,Yes,No,No,Lack of preparation,0,0,Poor time management,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,Below 50%,50-60%,50-60%,3,No,Not Applicable,0,Yes,University dorm,Yes,2,Yes,Rarely,2,Yes
Public,Sciences,Male,21,1st Year 2nd Semester,3.5,40,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",70-80%,more than 12,Yes,3-7h,No,No,0,Regular,70-80%,70-80%,70-80%,4,No,Not Applicable,0,Yes,Off-campus apartment,Yes,4,Yes,Always,4,No
National,Sciences,Female,23,3rd Year 1st Semester,3.25,100,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,Math,60-70%,more than 12,Yes,3-7h,Maybe,No,0,Regular,60-70%,60-70%,60-70%,4,No,Not Applicable,0,Yes,University dorm,Yes,4,Yes,Always,4,No
Public,Business Studies,Male,21,2nd Year 1st Semester,2.67,60,Only Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,Poor time management,0,0,Business,Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,Below 50%,50-60%,50-60%,3,No,Not Applicable,0,Yes,With family,Yes,2,Yes,Rarely,2,Yes
Public,Business Studies,Female,25,4th Year 2nd Semester,2.89,160,Lecture Materials and Self-Sourced Resources,3,Yes,No,Yes,No,Lack of preparation,0,0,Poor time management,0,Family problems,Business,Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,Below 50%,50-60%,50-60%,3,No,Not Applicable,0,Yes,University dorm,Yes,3,Yes,Rarely,2,Yes
Public,Social Sciences,Male,23,3rd Year 1st Semester,2.68,100,Lecture Materials and Self-Sourced Resources,3,Yes,Yes,No,No,Lack of preparation,0,0,Poor time management,0,Family problems,Social Sciences,Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,Below 50%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Private,Engineering and Technology ,Female,22,2nd Year 2nd Semester,3,80,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,IT,50-60%,8-12h,Yes,more than 12,Maybe,No,0,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,With family,Yes,3,Yes,Rarely,3,Yes
Private,Sciences,Female,20,1st Year 2nd Semester,2.92,40,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,Poor time management,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,3-7h,Yes,more than 12,Maybe,No,0,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Rarely,3,Yes
National,Sciences,Male,23,3rd Year 1st Semester,3.33,100,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,Math,60-70%,more than 12,Yes,8-12h,Maybe,No,0,Regular,60-70%,60-70%,60-70%,4,Yes,Tuition,3-7h,Yes,With family,Yes,3,Yes,Sometimes,3,No
National,Social Sciences,Female,22,2nd Year 2nd Semester,2.88,80,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,Poor time management,0,0,Social Sciences,50-60%,8-12h,Yes,more than 12,Maybe,No,0,Only before exams,Below 50%,50-60%,50-60%,3,No,Not Applicable,0,Yes,With family,Yes,3,Yes,Sometimes,3,Yes
Public,Engineering and Technology ,Male,24,4th Year 1st Semester,3.35,140,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,70-80%,more than 12,Yes,3-7h,Maybe,No,0,Regular,70-80%,70-80%,70-80%,4,Yes,Tuition,8-12h,Yes,Off-campus apartment,Yes,4,No,Always,4,No
Public,Business Studies,Female,22,2nd Year 2nd Semester,2.78,80,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,Poor time management,0,Family problems,Business,Below 50%,3-7h,Yes,more than 12,Maybe,No,0,Irregular,Below 50%,50-60%,50-60%,2,No,Not Applicable,0,Yes,University dorm,Yes,2,Yes,Rarely,2,Yes
National,Social Sciences,Female,24,3rd Year 2nd Semester,2.89,120,Lecture Materials and Self-Sourced Resources,3,Yes,Yes,No,No,Lack of preparation,0,0,Poor time management,0,Family problems,Social Sciences,Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,Below 50%,50-60%,50-60%,2,No,Not Applicable,0,Yes,University dorm,Yes,3,Yes,Rarely,2,Yes
Public,Sciences,Male,20,1st Year 2nd Semester,3.5,40,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",70-80%,more than 12,Yes,3-7h,Maybe,No,0,Regular,70-80%,70-80%,70-80%,4,Yes,Tuition,8-12h,Yes,Off-campus apartment,Yes,4,Yes,Always,4,No
Private,Engineering and Technology ,Male,24,3rd Year 1st Semester,2.89,100,Lecture Materials and Self-Sourced Resources,2,Yes,Yes,No,No,Lack of preparation,0,0,Poor time management,0,Family problems,IT,Below 50%,3-7h,Yes,more than 12,Maybe,No,0,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,With family,Yes,3,Yes,Sometimes,2,Yes
Public,Life Sciences,Female,24,4th Year 1st Semester,3.5,170,Lecture Materials and Self-Sourced Resources,1,No,Yes,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Above 90%,8-12h,No,0,Maybe,No,0,Regular,60-70%,70-80%,70-80%,1,No,Not Applicable,0,Yes,Off-campus apartment,No,3,Yes,Rarely,3,Yes
National,Business Studies,Female,22,4th Year 1st Semester,2.85,130,Only Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Math,Below 50%,1-3h,No,0,Maybe,No,0,Only before exams,60-70%,60-70%,70-80%,1,Yes,Not Applicable,0,Yes,With family,No,2,No,Rarely,2,Yes
National,Engineering and Technology,Male,24,4th Year 1st Semester,3.64,130,Only Lecture Materials,0,No,No,No,No,Lack of preparation,0,0,0,Health issues,0,0,70-80%,more than 12,Yes,3-7h,No,No,0,Regular,70-80%,70-80%,70-80%,3,No,Tuition,8-12h,No,Off-campus apartment,Yes,4,Yes,Sometimes,3,No
Public,Sciences,Female,22,2nd Year 2nd Semester,2.9,80,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Math,Below 50%,3-7h,Yes,more than 12,Maybe,No,0,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,3,Yes
Public,Social Sciences,Male,22,2nd Year 1st Semester,2.89,80,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Social Sciences,50-60%,more than 12,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,3,Yes
Public,Sciences,Male,24,4th Year 1st Semester,2.67,140,Lecture Materials and Self-Sourced Resources,3,Yes,Yes,No,No,Lack of preparation,0,0,Poor time management,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,1-3h,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Private,Engineering and Technology ,Female,25,4th Year 2nd Semester,3.45,160,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,70-80%,more than 12,Yes,more than 12,Maybe,No,0,Regular,60-70%,60-70%,60-70%,4,No,Not Applicable,0,Yes,University dorm,Yes,4,Yes,Sometimes,4,No
National,Business Studies,Female,21,2nd Year 1st Semester,2.67,60,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Business,Below 50%,3-7h,Yes,more than 12,Maybe,No,0,Only before exams,Below 50%,50-60%,50-60%,2,No,Not Applicable,0,Yes,With family,Yes,2,Yes,Sometimes,2,Yes
Public,Life Sciences,Male,23,3rd Year 2nd Semester,2.69,120,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,Below 50%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
Public,Business Studies,Male,21,2nd Year 1st Semester,2.56,60,Lecture Materials and Self-Sourced Resources,3,Yes,Yes,No,No,Lack of preparation,0,0,0,Health issues,Family problems,Business,Below 50%,1-3h,Yes,more than 12,Maybe,Yes,more than 12,Regular,Below 50%,Below 50%,Below 50%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Public,Sciences,Female,24,3rd Year 2nd Semester,2.88,120,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,Poor time management,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,1-3h,Yes,8-12h,Maybe,No,0,Only before exams,Below 50%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,2,Yes
Private,Engineering and Technology ,Female,22,2nd Year 2nd Semester,3.25,80,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,60-70%,more than 12,Yes,3-7h,Maybe,No,0,Regular,60-70%,60-70%,60-70%,4,No,Not Applicable,0,Yes,With family,Yes,3,Yes,Sometimes,3,No
Public,Engineering and Technology,Male,24,4th Year 2nd Semester,3.64,140,Group Study,0,No,No,No,No,Lack of preparation,0,0,0,0,0,0,Below 50%,1-3h,No,0,Yes,No,0,Only before exams,60-70%,60-70%,60-70%,1,No,Tuition,more than 12,Yes,University dorm,Yes,3,Yes,Sometimes,3,No
Public,Sciences,Male,24,4th Year 1st Semester,2.88,120,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,Poor time management,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,With family,Yes,2,Yes,Sometimes,3,Yes
Public,Engineering and Technology ,Male,22,2nd Year 2nd Semester,3.25,80,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,60-70%,more than 12,Yes,8-12h,Maybe,No,0,Regular,60-70%,60-70%,60-70%,3,Yes,Tuition,3-7h,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,3,No
Public,Engineering and Technology,Male,24,4th Year 2nd Semester,3.23,120,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,Lack of preparation,0,0,0,0,0,0,80-90%,1-3h,No,0,No,No,0,Irregular,70-80%,50-60%,60-70%,2,Yes,Tuition,more than 12,Yes,University dorm,No,1,Yes,Sometimes,3,No
Public,Sciences,Female,24,3rd Year 1st Semester,2.89,100,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Rarely,2,Yes
National,Social Sciences,Female,23,3rd Year 1st Semester,2.56,100,Lecture Materials and Self-Sourced Resources,3,Yes,Yes,No,No,Lack of preparation,0,0,Poor time management,0,Family problems,Social Sciences,50-60%,8-12h,Yes,1-3h,Yes,Yes,more than 12,Only before exams,Below 50%,Below 50%,Below 50%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Public,Sciences,Female,21,2nd Year 1st Semester,2.89,60,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",50-60%,3-7h,Yes,more than 12,Maybe,No,0,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Private,Engineering and Technology ,Male,25,4th Year 2nd Semester,3,140,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,70-80%,more than 12,Yes,3-7h,Maybe,No,0,Regular,70-80%,70-80%,70-80%,4,No,Not Applicable,8-12h,Yes,Off-campus apartment,Yes,4,Yes,Always,4,No
Private,Sciences,Female,22,2nd Year 2nd Semester,2.92,80,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,Poor time management,0,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,3-7h,Yes,more than 12,Maybe,No,0,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,3,Yes
National,Social Sciences,Female,21,2nd Year 1st Semester,2.88,60,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,Poor time management,0,0,Social Sciences,Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,University dorm,Yes,2,Yes,Sometimes,2,Yes
Public,Social Sciences,Female,23,3rd Year 1st Semester,2.92,100,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,Poor time management,0,0,Social Sciences,50-60%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,University dorm,Yes,2,Yes,Sometimes,2,Yes
Public,Sciences,Male,24,4th Year 1st Semester,2.45,140,Lecture Materials and Self-Sourced Resources,3,Yes,Yes,No,No,Lack of preparation,0,0,Poor time management,0,Family problems,Math,Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,Below 50%,Below 50%,Below 50%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Public,Business Studies,Male,22,2nd Year 2nd Semester,3.33,80,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,Social Sciences,60-70%,more than 12,Yes,3-7h,Maybe,Yes,3-7h,Regular,60-70%,60-70%,60-70%,3,Yes,Tuition,3-7h,Yes,Off-campus apartment,Yes,4,Yes,Sometimes,3,No
Private,Engineering and Technology ,Male,25,4th Year 2nd Semester,3.5,160,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,70-80%,more than 12,Yes,8-12h,Maybe,No,0,Regular,70-80%,70-80%,70-80%,4,Yes,Tuition,3-7h,Yes,With family,Yes,4,Yes,Always,4,No
National,Sciences,Female,21,2nd Year 1st Semester,2.67,60,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,8-12h,Yes,0,Maybe,Yes,more than 12,Only before exams,Below 50%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
Public,Engineering and Technology,Male,23,4th Year 2nd Semester,3.8,130,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,Lack of preparation,0,Personal issues,Poor time management,0,Family problems,0,Above 90%,3-7h,Yes,1-3h,No,No,0,Only before exams,80-90%,70-80%,70-80%,2,No,Other,3-7h,Yes,University dorm,Yes,1,Yes,Rarely,3,No
Public,Sciences,Female,22,2nd Year 2nd Semester,2.72,80,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Math,50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,3,Yes
Public,Social Sciences,Male,24,4th Year 1st Semester,2.89,140,Lecture Materials and Self-Sourced Resources,2,Yes,Yes,No,No,Lack of preparation,0,0,0,0,0,Social Sciences,50-60%,8-12h,Yes,8-12h,Maybe,Yes,more than 12,Only before exams,Below 50%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
Private,Engineering and Technology ,Female,22,2nd Year 2nd Semester,3.3,80,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,IT,60-70%,more than 12,Yes,3-7h,Maybe,No,0,Regular,60-70%,60-70%,60-70%,4,No,Not Applicable,0,Yes,University dorm,Yes,4,Yes,Sometimes,3,No
Public,Sciences,Male,23,3rd Year 1st Semester,2.67,100,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,Below 50%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,3,Yes
Public,Engineering and Technology,Female,24,4th Year 2nd Semester,3.4,50,Group Study,2,Yes,No,No,No,0,0,0,Poor time management,0,0,IT,80-90%,1-3h,No,0,Maybe,No,0,Only before exams,70-80%,60-70%,70-80%,2,No,Business,1-3h,No,University dorm,Yes,3,Yes,Sometimes,2,Yes
National,Business Studies,Female,20,1st Year 2nd Semester,2.93,40,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,0,0,0,Poor time management,0,Family problems,Social Sciences,Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,Below 50%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
Public,Social Sciences,Female,24,4th Year 1st Semester,3.51,100,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,Lack of preparation,0,0,0,0,0,Social Sciences,Above 90%,1-3h,No,0,Yes,No,0,Irregular,60-70%,60-70%,60-70%,5,Yes,Other,1-3h,Yes,Off-campus apartment,Yes,1,Yes,Always,2,No
Public,Engineering and Technology,Female,24,4th Year 2nd Semester,3.78,142,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,Lack of preparation,0,0,0,0,0,0,Above 90%,1-3h,No,0,Maybe,No,0,Only before exams,80-90%,80-90%,70-80%,1,No,Tuition,1-3h,Yes,University dorm,Yes,3,Yes,Sometimes,2,No
Public,Engineering and Technology,Female,23,4th Year 2nd Semester,3.8,30,Group Study,0,No,No,No,No,0,Other,0,0,0,0,IT,60-70%,8-12h,No,3-7h,No,No,3-7h,Regular,70-80%,60-70%,70-80%,2,No,Tuition,3-7h,Yes,University dorm,Yes,3,Yes,Always,3,No
Public,Engineering and Technology,Male,25,4th Year 2nd Semester,4,140,Only Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,0,Above 90%,1-3h,Yes,more than 12,Yes,No,0,Only before exams,70-80%,60-70%,60-70%,1,Yes,Not Applicable,0,Yes,University dorm,No,1,No,Never,1,No
Public,Sciences,Female,23,3rd Year 1st Semester,2.69,100,Lecture Materials and Self-Sourced Resources,3,Yes,Yes,No,No,0,0,0,Poor time management,Health issues,Family problems,"Life-Science (Biology, Geology, Chemistry, Microbiology)",Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Rarely,2,Yes
Public,Sciences,Male,22,2nd Year 2nd Semester,2.88,80,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,Poor time management,0,0,Math,50-60%,3-7h,No,0,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,2,No,Not Applicable,0,Yes,Off-campus apartment,Yes,2,Yes,Sometimes,2,Yes
Public,Engineering and Technology,Female,23,4th Year 2nd Semester,3.5,15,Group Study,0,No,No,No,No,Lack of preparation,0,0,0,0,0,IT,Above 90%,1-3h,No,0,Maybe,No,0,Only before exams,80-90%,50-60%,80-90%,1,No,Not Applicable,0,No,Off-campus apartment,Yes,2,Yes,Rarely,2,No
Public,Social Sciences,Female,24,3rd Year 2nd Semester,2.95,120,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Social Sciences,50-60%,8-12h,Yes,more than 12,Maybe,No,0,Irregular,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,Off-campus apartment,Yes,3,Yes,Sometimes,3,Yes
Public,Engineering and Technology,Male,25,4th Year 2nd Semester,3.6,148,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,Lack of preparation,0,0,Poor time management,Health issues,0,IT,Above 90%,3-7h,Yes,1-3h,Yes,No,0,Only before exams,80-90%,80-90%,80-90%,1,Yes,Tuition,more than 12,Yes,University dorm,Yes,2,Yes,Always,4,No
Public,Engineering and Technology ,Male,22,2nd Year 2nd Semester,2.56,80,Lecture Materials and Self-Sourced Resources,2,Yes,No,No,No,Lack of preparation,0,0,0,0,0,IT,Below 50%,3-7h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,University dorm,Yes,2,Yes,Rarely,2,Yes
Private,Sciences,Female,25,4th Year 1st Semester,2.88,140,Lecture Materials and Self-Sourced Resources,1,Yes,No,No,No,Lack of preparation,0,0,0,0,0,Math,50-60%,8-12h,Yes,more than 12,Maybe,Yes,more than 12,Only before exams,50-60%,50-60%,50-60%,3,No,Not Applicable,0,Yes,With family,Yes,2,Yes,Sometimes,2,Yes
Public,Sciences,Male,22,2nd Year 2nd Semester,3.15,80,Lecture Materials and Self-Sourced Resources,0,No,No,No,No,0,Other,0,0,0,0,"Life-Science (Biology, Geology, Chemistry, Microbiology)",60-70%,more than 12,Yes,3-7h,Maybe,No,0,Regular,60-70%,60-70%,60-70%,3,Yes,Tuition,8-12h,Yes,Off-campus apartment,Yes,4,Yes,Always,4,No
